Ano,Ceará,Pernambuco,Total
1994,100.0,73.31,87.84
1995,100.0,100.0,100.0
1996,98.43,87.24,92.71
1997,100.0,100.0,100.0
1998,90.77,100.0,100.0
1999,100.0,100.0,100.0
2000,98.18,72.11,85.39
2001,100.0,87.91,99.65
2002,100.0,95.68,100.0
2003,60.89,63.3,62.07
2004,100.0,100.0,100.0
2005,100.0,100.0,100.0
2006,100.0,100.0,100.0
2007,100.0,100.0,100.0
2008,100.0,100.0,100.0
2009,100.0,100.0,100.0
2010,100.0,100.0,100.0
2011,100.0,100.0,100.0
2012,97.61,100.0,100.0
2013,70.52,72.35,71.48
2014,100.0,97.47,100.0
2015,99.75,90.34,94.75
2016,99.84,83.67,91.31
2017,74.71,67.71,71.02
2018,69.41,61.6,65.43
2019,43.27,39.01,41.07
