,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,Total
1994,31.03,40.52,55.22,51.6,25.84,38.27
1995,41.67,43.78,46.43,51.24,45.1,45.7
1996,55.2,50.91,44.66,53.84,52.54,50.0
1997,68.57,65.71,70.58,71.5,69.92,68.95
1998,73.28,66.45,74.42,65.09,76.53,70.65
1999,81.34,84.1,91.64,80.95,87.47,86.57
2000,75.81,75.42,76.98,75.31,81.77,76.5
2001,80.97,79.57,79.84,78.24,82.9,79.85
2002,78.91,77.12,74.23,75.44,79.67,76.09
2003,75.09,73.92,71.12,72.82,76.82,72.97
2004,86.68,84.45,75.47,75.86,85.63,80.0
2005,82.36,78.99,74.55,72.4,79.8,76.73
2006,81.57,78.06,73.2,72.2,80.1,75.83
2007,83.97,79.54,72.89,72.97,83.0,76.66
2008,80.79,75.62,71.04,70.99,78.88,73.9
2009,82.19,77.68,73.72,73.38,81.48,76.22
2010,78.08,76.58,72.39,71.91,76.22,74.38
2011,83.91,84.55,85.5,86.62,87.0,85.31
2012,78.21,76.04,77.94,76.98,78.55,77.32
2013,68.12,71.91,73.82,75.01,80.09,73.29
2014,76.25,85.66,87.97,87.04,92.76,86.31
2015,83.05,95.4,98.51,94.24,94.42,95.07
2016,48.22,47.96,49.04,55.6,60.87,50.44
2017,64.34,64.89,70.0,75.37,74.58,69.04
2018,66.24,68.81,72.55,79.44,75.39,71.99
2019,44.55,42.69,43.88,56.37,48.31,45.65
