,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,Total
1994,779674,3144653,256603,437164,384499,5002593
1995,1105842,4249987,3998570,2236326,788810,12379535
1996,1573711,5040443,3877218,2393301,1155568,14040241
1997,1856485,5850693,7637382,2864833,1446316,19655709
1998,2032740,5982505,8099308,2647241,1565734,20327528
1999,5196092,18331453,25164631,8149882,4336995,61179053
2000,5901829,19918009,27403736,9198595,4848351,67270520
2001,6522892,21021378,27910784,9305993,4894025,69655072
2002,6466918,20445908,25695715,8798989,4728059,66135589
2003,6284436,19684738,24605540,8366148,4584355,63525217
2004,8210543,25213904,29795523,10244916,5878046,79342932
2005,7761367,23185473,28770865,9497506,5505148,74720359
2006,7921316,23088778,28730277,9613113,5570352,74923836
2007,7951820,23255094,28727467,9528842,5714618,75177841
2008,7702273,22327863,28071074,9297101,5524024,72922335
2009,7684934,22684034,28880793,9551065,5610305,74411131
2010,7351471,22170262,28802437,9480855,5397196,73202221
2011,4682365,13163856,17575425,5710715,3508110,44640471
2012,4638321,12588884,16638377,5469356,3385244,42720182
2013,4911878,14087874,19417332,6522692,4170804,49110580
2014,6079213,18203438,25678107,8421804,5459762,63842324
2015,5908687,17877921,25876716,8300237,5061483,63025044
2016,5277111,14253705,21095974,7369548,5194786,53191124
2017,5285639,13964920,21658719,7497722,4725232,53132232
2018,5199754,14043460,21509160,7752142,4606442,53110958
2019,3474468,8669018,12849521,5492656,2976294,33461957
