 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Ano e Unidade da Federação
Período:1994-2019
"Ano";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"1994";150744;22658;127265;38382;440625;-;-;395000;327096;708696;192475;-;527256;-;-;994130;-;256603;-;-;-;437164;-;-;174627;209872;-;5002593
"1995";169930;57518;236612;56559;552664;32559;-;482285;288726;731122;257873;160631;1191428;178302;237617;722003;-;397685;906575;2694310;610367;529270;1096689;-;196972;590541;1297;12379535
"1996";260583;45907;279674;58502;722825;43911;162309;567243;284130;894330;303590;323476;1130697;299818;242572;994587;-;411887;779704;2685627;904583;476830;1011888;160964;201338;574266;219000;14040241
"1997";221136;78576;427850;51558;890749;54202;132414;700146;308842;1092139;308454;399938;1127214;304852;250807;1358301;1796982;378316;1409487;4052597;1258159;616029;990645;261788;334670;591826;258032;19655709
"1998";254228;79331;430178;64159;914640;80449;209755;802799;348572;958365;299258;390460;1121468;329757;247439;1484387;1813559;440462;1519764;4325523;1056241;618793;972207;282453;358484;634802;289995;20327528
"1999";511993;240690;1013496;139177;2585184;205472;500080;2231202;1045207;3180674;983207;1294082;2953463;1086283;812313;4745022;6477184;1141437;4872715;12673295;3018261;1734001;3397620;827388;907069;1805937;796601;61179053
"2000";595405;245193;1198384;187080;2886309;232258;557200;2453795;1208893;3403095;1048720;1381868;3297620;1196604;796246;5131168;6961244;1214667;5385808;13842017;3750742;1908182;3539671;896172;1091090;2040674;820415;67270520
"2001";634672;281863;1327220;162704;3182573;342676;591184;2754985;1260538;3464853;1074655;1463207;3308789;1247844;804610;5641897;7888036;1233262;5263389;13526097;3771473;1929301;3605219;937187;1089117;2069557;798164;69655072
"2002";603409;309201;1360736;171102;3209151;256112;557207;2714036;1247873;3335843;1068538;1404985;3296188;1287595;774545;5316305;6637190;1176631;5118198;12763696;3547068;1808394;3443527;856199;1056545;2055137;760178;66135589
"2003";567875;300787;1270370;168107;3183958;263949;529390;2698158;1175552;3134287;1044353;1320266;3220240;1217980;744964;5128938;6206032;1155743;4888554;12355211;3317332;1767949;3280867;814843;1014615;1978045;776852;63525217
"2004";732052;378766;1581187;220949;4313926;342556;641107;3305897;1494494;3773711;1312706;1667647;3926773;1700397;897079;7135200;7495444;1412016;5935843;14952220;4267323;2101818;3875775;971764;1286775;2634225;985282;79342932
