 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Período:1994-2019
"Imuno";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";88,29;103,62;104,19;117,12;111,61;117,28;111,74;112,60;110,28;108,47;113,36;114,48;113,06;111,08;108,91;108,71;106,71;107,94;105,69;107,42;107,28;105,08;95,55;97,12;97,72;52,95;105,82
"099 Hepatite B  em crianças até 30 dias";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;88,54;90,93;81,75;85,20;86,73;48,33;68,79
"061 Rotavírus Humano";...;...;...;...;...;-;-;-;-;-;...;...;46,52;79,79;81,18;85,99;83,04;87,06;86,37;93,52;93,44;95,35;88,98;84,65;89,76;52,47;58,57
"053 Meningococo C";...;...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;26,88;105,66;96,18;99,70;96,36;98,19;91,68;87,04;87,50;53,66;61,23
"073 Hepatite B";8,85;10,50;16,50;5,79;12,63;83,50;91,08;91,88;91,47;92,00;96,26;98,46;100,30;99,89;96,06;100,20;96,08;97,71;96,67;100,56;96,42;97,74;105,19;86,29;92,91;55,93;78,46
"080 Penta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;24,89;95,89;94,85;96,30;89,27;83,78;87,10;49,73;77,80
"012 Pneumocócica";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;24,02;81,65;88,39;93,57;93,45;94,23;95,00;91,56;93,43;54,43;81,04
"074 Poliomielite";58,23;77,82;80,85;89,27;95,30;99,08;101,44;102,83;100,01;100,48;104,30;105,12;105,25;105,43;100,18;103,66;99,35;101,33;96,55;100,71;96,76;98,29;84,43;84,27;88,17;51,54;94,18
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,62;0,47;0,19;0,43
"006 Febre Amarela";5,27;4,81;5,65;7,84;18,49;29,06;37,14;40,24;38,70;34,68;38,29;42,95;46,17;49,23;47,09;49,69;49,25;48,95;49,31;51,50;46,86;46,31;44,59;46,46;58,40;39,91;37,72
"096 Hepatite A";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;60,13;97,07;71,58;83,05;82,16;52,09;63,73
"091 Pneumocócica(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;93,11;87,95;88,35;84,10;79,66;80,02;50,50;80,51
"092 Meningococo C (1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;92,35;88,55;87,85;93,86;82,13;79,72;55,16;82,82
"093 Poliomielite(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;92,92;86,31;84,52;74,36;78,06;71,90;45,89;76,27
"021 Tríplice Viral  D1";...;...;...;...;...;6692,10;77,50;88,43;96,92;112,95;110,93;106,55;105,35;106,80;99,81;103,74;99,93;102,39;99,50;107,46;112,80;96,07;95,41;90,85;91,89;57,19;102,30
"098 Tríplice Viral  D2";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;68,87;92,88;79,94;76,71;76,45;76,49;48,37;74,23
"097 Tetra Viral(SRC+VZ)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;34,19;90,19;77,37;79,04;36,86;32,46;22,46;53,27
"075 DTP";64,75;80,53;78,24;78,50;92,97;94,46;94,71;97,45;44,69;1,41;102,41;102,82;103,50;103,25;97,98;101,71;98,01;99,61;93,81;97,85;95,48;96,90;89,53;84,02;87,31;49,86;85,86
"102 DTP REF (4 e 6 anos)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2,41;...;2,73;2,81;1,93;1,00;3,31
"103 Dupla Adulto (dt)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;90,96;86,36;85,78;64,28;74,29;67,49;38,70;72,52
"018 Sarampo";71,35;86,85;80,39;108,61;95,26;99,31;105,35;103,85;96,02;4,06;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;85,97
"009 Haemophilus influenzae b";...;0,00;0,01;0,03;0,84;5,09;87,85;93,10;38,98;1,72;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;26,00
"094 Dupla adulto e tríplice acelular gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;50,73;43,50;45,57;31,53;34,56;47,02;30,73;40,48
"003 dTpa gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2,80;9,34;44,97;33,81;42,36;63,06;41,97;33,97
"020 Influenza Campanha";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
"Total";49,46;52,02;52,26;58,17;61,01;75,94;78,53;81,18;68,59;50,68;83,70;85,10;81,14;86,21;83,18;87,09;76,98;92,48;83,73;73,99;76,76;85,61;72,16;76,70;79,67;49,46;73,56
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

