 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Ano e Unidade da Federação
Unidade da Federação: Ceará, Pernambuco
Imuno: 021 Tríplice Viral  D1, 098 Tríplice Viral  D2, 097 Tetra Viral(SRC+VZ), 018 Sarampo
Período:1994-2019
"Ano";"CE";"PE";"Total"
"1994";103,72;73,31;87,84
"1995";107,40;104,74;106,04
"1996";98,43;87,24;92,71
"1997";131,76;122,51;127,31
"1998";90,77;113,48;101,66
"1999";211,82;117,38;166,68
"2000";98,18;72,11;85,39
"2001";112,06;87,91;99,65
"2002";104,95;95,68;100,27
"2003";60,89;63,30;62,07
"2004";112,89;113,70;113,31
"2005";110,35;109,15;109,72
"2006";105,30;110,07;107,78
"2007";107,88;113,35;110,71
"2008";103,02;105,71;104,42
"2009";105,67;111,23;108,56
"2010";103,91;104,79;104,37
"2011";110,92;113,67;112,34
"2012";97,61;104,59;101,23
"2013";70,52;72,35;71,48
"2014";132,33;97,47;113,96
"2015";99,75;90,34;94,75
"2016";99,84;83,67;91,31
"2017";74,71;67,71;71,02
"2018";69,41;61,60;65,43
"2019";43,27;39,01;41,07
"Total";97,05;86,27;91,51
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

