 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Ano e Unidade da Federação
Período:1994-2019
"Ano";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"1994";42,76;20,53;20,15;64,06;32,44;...;...;27,43;62,22;49,20;41,34;...;33,46;...;...;42,98;...;55,22;...;...;...;51,60;...;...;31,76;22,37;...;38,27
"1995";50,80;46,61;35,82;88,84;40,11;34,68;...;35,69;48,16;50,06;49,23;22,82;78,01;28,35;67,66;28,19;...;74,91;43,29;45,01;35,30;55,47;65,25;...;37,67;69,81;0,34;45,70
"1996";76,05;36,59;49,88;89,18;51,26;44,75;65,44;41,05;46,40;60,28;56,57;45,23;72,86;46,58;67,28;38,02;...;75,62;36,26;44,86;51,84;48,53;58,90;39,02;37,44;66,93;55,99;50,00
"1997";83,33;67,56;72,01;80,26;67,09;52,06;56,24;60,33;57,65;74,00;61,55;63,28;82,44;50,95;73,92;59,22;62,60;77,78;69,12;74,70;76,53;73,29;65,07;70,62;74,22;70,07;64,17;68,95
"1998";93,26;66,38;70,62;97,45;67,46;73,77;86,73;68,09;64,59;64,09;58,99;61,39;81,41;54,52;71,66;64,03;62,43;89,21;73,78;79,73;63,40;71,64;63,25;75,01;78,08;73,23;84,43;70,65
"1999";82,31;85,61;72,19;93,76;82,95;83,48;87,82;81,10;81,53;88,63;78,80;81,68;87,47;78,30;98,68;82,45;90,14;94,67;91,77;92,11;75,09;82,85;85,90;92,05;84,87;87,36;86,24;86,57
"2000";79,59;66,79;70,91;83,94;77,23;70,61;80,63;74,81;78,74;78,82;70,21;72,88;76,93;72,36;77,96;74,08;79,70;79,36;75,16;76,19;78,72;75,49;71,91;85,08;84,34;82,76;73,49;76,50
"2001";83,70;76,77;70,68;72,67;83,43;101,50;87,42;79,09;81,18;83,18;73,12;80,28;76,73;74,45;79,01;81,56;90,28;80,75;75,02;76,51;81,01;78,11;75,60;88,66;85,97;83,87;71,77;79,85
"2002";78,18;81,66;70,98;78,33;82,66;75,61;80,88;76,93;79,67;78,97;73,20;76,52;77,76;76,03;78,28;76,22;75,07;78,05;74,66;73,30;77,26;74,59;74,07;80,84;81,93;82,66;69,15;76,09
"2003";72,30;77,54;64,77;72,99;80,50;76,13;75,39;75,58;74,41;73,21;71,76;71,43;77,22;71,21;76,06;72,90;69,40;77,65;71,50;71,29;73,48;73,68;71,71;77,14;77,24;79,45;70,10;72,97
"2004";81,87;80,21;72,14;80,28;97,38;84,83;79,60;82,82;83,46;81,36;78,42;79,32;80,43;89,49;78,75;92,19;77,73;80,76;75,23;74,03;80,60;73,76;72,30;75,55;82,44;92,38;84,50;80,00
"2005";80,75;72,09;73,67;78,26;89,17;81,02;78,77;83,49;76,60;78,84;72,55;76,29;78,07;76,60;73,63;81,47;77,68;78,62;75,26;72,44;73,68;74,02;70,25;75,05;81,55;81,91;77,52;76,73
"2006";84,44;70,66;74,81;74,22;86,99;76,09;78,68;82,76;78,18;76,59;73,24;76,74;76,81;74,40;73,28;80,36;76,92;77,39;71,88;71,60;74,62;73,07;69,27;76,70;79,43;81,78;80,50;75,83
"2007";86,21;80,54;78,84;76,90;87,87;76,76;81,81;87,34;80,34;78,58;74,52;79,46;80,36;72,64;77,60;78,42;77,30;76,58;71,89;70,92;76,87;73,51;68,75;78,40;82,68;84,69;84,21;76,66
"2008";82,39;75,04;76,40;71,13;84,70;74,15;79,42;83,64;76,69;74,75;70,54;74,71;75,91;69,00;75,27;74,57;74,74;75,19;69,15;69,70;73,64;72,19;67,61;74,89;78,12;80,21;80,92;73,90
"2009";83,87;79,18;78,63;80,21;84,02;84,31;81,54;84,62;78,11;76,10;72,82;76,88;78,11;75,31;76,07;76,77;78,01;75,93;71,36;72,49;76,66;74,86;69,20;78,53;79,38;80,41;90,75;76,22
"2010";79,26;76,32;73,30;75,19;81,55;75,31;75,12;87,04;75,44;74,40;71,04;77,15;74,95;74,08;76,12;75,41;80,85;74,74;67,48;70,36;75,22;74,18;67,22;75,77;73,54;76,25;80,07;74,38
"2011";92,75;84,74;80,09;84,42;84,11;77,88;87,78;87,15;86,04;83,44;81,30;82,82;88,72;73,81;83,94;84,73;87,40;88,35;83,91;84,96;89,97;88,07;81,99;89,37;87,40;96,24;67,70;85,31
"2012";85,82;74,35;79,18;73,13;77,87;73,77;76,34;77,67;77,57;74,76;74,96;70,88;78,44;70,45;74,33;77,33;82,73;79,71;73,71;77,28;79,48;78,79;72,95;83,46;81,37;82,52;64,84;77,32
"2013";76,72;58,87;67,06;60,70;67,91;67,66;72,78;73,54;71,99;73,09;66,86;71,43;71,80;67,30;74,76;72,29;80,04;72,30;68,11;73,37;77,59;72,94;73,47;81,81;75,04;79,36;85,83;73,29
"2014";98,18;59,29;77,14;82,30;71,71;76,11;85,09;83,27;76,06;96,57;82,44;83,53;86,44;84,08;86,11;83,78;90,21;90,98;84,08;88,20;86,95;91,81;84,15;110,11;92,61;86,63;89,33;86,31
"2015";111,27;75,54;94,95;105,27;67,51;88,75;92,37;94,40;80,68;107,71;89,17;86,34;101,09;92,74;91,00;93,06;100,33;98,39;96,14;98,63;96,41;100,69;87,69;113,07;100,32;93,55;71,55;95,07
"2016";63,77;46,91;48,27;57,41;41,43;56,62;60,94;43,38;46,94;56,44;42,23;50,10;51,43;44,88;47,05;44,35;57,58;51,19;47,98;45,94;55,32;58,88;53,86;63,55;58,32;53,60;75,28;50,44
"2017";80,74;62,18;65,33;74,26;57,60;58,66;81,70;60,87;67,25;73,67;53,69;66,15;65,20;65,01;63,49;63,11;80,42;66,35;67,04;67,29;77,66;75,82;72,54;78,81;74,28;73,25;73,82;69,04
"2018";82,45;67,44;69,82;78,76;57,44;63,32;82,32;64,51;70,80;77,37;67,54;69,43;70,43;70,79;68,76;63,50;85,42;74,22;61,37;71,52;81,79;82,43;74,94;83,52;76,70;71,85;73,85;71,99
"2019";51,44;45,44;49,97;48,04;37,53;44,02;57,59;40,05;44,88;47,53;38,10;43,87;44,91;44,26;46,21;38,68;53,43;48,72;25,99;46,18;58,11;60,59;51,65;52,21;46,38;47,04;49,58;45,65
"Total";79,88;69,26;69,65;75,68;73,89;72,88;78,47;73,91;73,15;75,75;68,77;72,02;75,12;70,26;74,36;72,39;78,03;76,09;69,70;71,68;75,08;74,53;70,96;79,69;76,12;77,66;74,74;73,49
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

