 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Ano e Unidade da Federação
Unidade da Federação: Ceará, Pernambuco
Imuno: 021 Tríplice Viral  D1, 098 Tríplice Viral  D2, 097 Tetra Viral(SRC+VZ), 018 Sarampo
Período:1994-2019
"Ano";"CE";"PE";"Total"
"1994";186758;144396;331154
"1995";174274;177743;352017
"1996";162252;150430;312682
"1997";216058;186133;402191
"1998";150826;173678;324504
"1999";356607;180974;537581
"2000";333244;235653;568897
"2001";346907;287908;634815
"2002";329552;306336;635888
"2003";193829;194778;388607
"2004";155034;170055;325089
"2005";154706;165682;320388
"2006";142175;160814;302989
"2007";144386;162203;306589
"2008";137930;153462;291392
"2009";138839;157727;296566
"2010";136520;148602;285122
"2011";145731;161186;306917
"2012";128247;148315;276562
"2013";272076;306841;578917
"2014";503619;413394;917013
"2015";373832;383233;757065
"2016";385141;360057;745198
"2017";288215;291385;579600
"2018";262540;241553;504093
"2019";165900;159032;324932
"Total";5985198;5621570;11606768
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

