 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Imuno e Região
Período:1994-2019
"Imuno";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";"Total"
"072 BCG";8934021;25716922;30399265;10320185;6313847;81684240
"099 Hepatite B  em crianças até 30 dias";1483708;3962859;5634362;1747004;1240004;14067937
"061 Rotavírus Humano";3057558;9398436;13678966;4524124;2732897;33391981
"053 Meningococo C";2247567;6782535;10032410;3310188;2018426;24391126
"073 Hepatite B";6211709;17317816;23733605;8632675;4667998;60563803
"080 Penta";1722959;5031649;7338378;2507602;1550119;18150707
"012 Pneumocócica";2146967;6492464;9682534;3286952;1966212;23575129
"074 Poliomielite";7274884;22142316;28092416;9575853;5616541;72702010
"100 Poliomielite 4 anos";309;3310;7428;2034;768;13849
"006 Febre Amarela";6503172;7788790;7694629;2695171;4285684;28967446
"096 Hepatite A";1209705;3531645;5304090;1861501;1126943;13033884
"091 Pneumocócica(1º ref)";1518080;4572998;6679457;2301651;1389552;16461738
"092 Meningococo C (1º ref)";1586168;4706802;6827088;2368737;1445724;16934519
"093 Poliomielite(1º ref)";1432846;4337592;6369327;2123624;1331847;15595236
"021 Tríplice Viral  D1";5860559;18272998;24617230;7824108;4776620;61351515
"098 Tríplice Viral  D2";1373863;3988165;6328788;2185789;1303656;15180261
"097 Tetra Viral(SRC+VZ)";1211088;2550140;4132691;1867345;1132842;10894106
"075 DTP";6473825;19952727;25733142;8974200;5145825;66279719
"102 DTP REF (4 e 6 anos)";117995;309935;276475;107191;89040;900636
"103 Dupla Adulto (dt)";1543862;3370545;6781652;2908435;1389185;15993679
"095 Tríplice Bacteriana(DTP)(1º ref)";1413818;4249720;5955483;1952469;1258572;14830062
"018 Sarampo";2536010;8548654;9840813;3621644;1588205;26135326
"009 Haemophilus influenzae b";635654;1998329;3198726;1046101;601345;7480155
"094 Dupla adulto e tríplice acelular gestante";827925;2657578;3087095;954455;723331;8250384
"003 dTpa gestante";639438;1996924;2768468;904586;613500;6922916
"Total";67963690;189681849;254194518;87603624;54308683;653752364
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

